job_id,title,location,country,job_family,employment_type,employee_type,url
JR351733,"Swarm Lead (Informatica MDM, PIM, P360 experience mandatory)",India - Bangalore,India,Customer Success,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Bangalore/Swarm-Lead--Informatica-MDM--PIM--P360-experience-mandatory-_JR351733
JR351810,Product Management Director,India - Bangalore,India,Product,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Bangalore/Product-Management-Director_JR351810
JR351624,Product Marketing Manager MDM,India - Bangalore,India,Marketing & Communications,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Bangalore/Product-Marketing-Manager---Data-Governance_JR351624-1
JR351613,GTM Product Marketing Manager,India - Bangalore,India,Marketing & Communications,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Bangalore/Product-Marketing-Manager---Data-Integration_JR351613
JR352055,Senior Corporate Counsel - Office of Global Ethics & Integrity - JAPAC (India),India - Bangalore,India,Global Affairs,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Bangalore/Senior-Corporate-Counsel---Office-of-Global-Ethics---Integrity---JAPAC--India-_JR352055
JR351728,Territory Account Executive - SMB,India - Gurgaon,India,Sales,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Gurgaon/Territory-Account-Executive---SMB_JR351728
JR352484,Account Executive - Public Sector,India - Gurgaon,India,Sales,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Gurgaon/Account-Executive---Public-Sector_JR352484
JR352499,"Senior Principal Swarm Lead (Informatica MDM, PIM, P360, C360 experience mandatory)",India - Bangalore,India,Customer Success,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Bangalore/Senior-Principal-Swarm-Lead--Informatica-MDM--PIM--P360--C360-experience-mandatory-_JR352499
JR352789,Salesforce Technical Architect (Education Cloud),India - Gurgaon,India,Customer Success,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Gurgaon/Salesforce-Technical-Architect--Education-Cloud-_JR352789
JR352771,Senior Product Manager - Platform Identity Services,India - Hyderabad,India,Product,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Hyderabad/Senior-Product-Manager---Platform-Identity-Service_JR352771-1
JR352831,Enterprise Corporate Sales - Account Executive - BFSI,India - Bangalore,India,Sales,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Bangalore/Enterprise-Corporate-Sales---Account-Executive_JR352831
JR352818,"Director, Data Engineering",India - Hyderabad,India,Data,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Hyderabad/Director--Data-Engineering_JR352818
JR353167,Success Guide - Informatica,India - Bangalore,India,Customer Success,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Bangalore/Success-Guide---Informatica_JR353167
JR353244,Salesforce Technical Architect (Core & Revenue Cloud),India - Gurgaon,India,Customer Success,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Gurgaon/Technical-Architect_JR353244
JR353248,Employee Relations Manager,India - Bangalore - Remote,India,Employee Success,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Bangalore---Remote/Employee-Relations-Manager_JR353248
JR353436,"Senior Success Guide (Informatica CDGC, CDQ or Axon and EDC experience mandatory)",India - Bangalore,India,Customer Success,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Bangalore/Senior-Success-Guide--Informatica-CDGC--CDQ--Axon-experience-mandatory-_JR353436
