title,role,location,experience,skills,apply_id
Senior Consultant,Lead Software Engineer,"Hyderabad, India",,DE-.Net Winforms Applications.,creq264323
Servicenow Architect,Software Engineer,"Hyderabad, India",,SN-Customer Service Management.,creq265561
Databricks,Software Engineer,"Bangalore, India",,"Data-Databricks Data platform with Spark,Python/Scala/Java,Kafka, HDFS, Hive,NoSQL.",creq264338
Java Angular Dev,Lead Software Engineer,"Chennai, India",,DE-Full Stack Foundation.,creq265321
EIM Data Architect,Architect (Level: Manager),"Hyderabad, India",,"Data-Teradata with GCP Native Services, ETL.",creq265512
Java Angular Dev,Lead Software Engineer,"Chennai, India",,DE-Full Stack Foundation.,creq265319
Azure Data Engineer,Software Engineer,"Bangalore, India",,"Data-Databricks with Azure Native Services, Spark,Python/Scala/Java,Kafka,HDFS, Hive.",creq265684
Java Spring Boot,Senior Software Engineer,"Chennai, India",,DE-Full Stack Foundation.,creq242939
QA Tosca lead,Architect (Level: Manager),"Hyderabad, India",,DA-WebToscaJava.,creq263623
MDM ETL QA,Lead Software Engineer,"Chennai, India",,DA-Data Testing.,creq265835
Senior  Java Kafka  Architect,Systems Architect (Level: Senior Manager),"Hyderabad, India",,DE-Service Dev Foundation.,creq264879
Java Kafka Developer,Software Engineer,"Hyderabad, India",,DE-Service Dev Foundation.,creq265258
Cloud DevOps Lead,Lead Software Engineer,"Hyderabad, India",,CIS-AWS Infra - DevOps.,creq265505
EIM Senior Data Engineer,Senior Lead Software Engineer,"Hyderabad, India",,"Data-Oracle OWB with Python/Scala/Java/.NET, ANSI SQL compliant, Traditional Or Cloud DB, Pipeline orchestration .",creq265510
Servicenow Architect,Architect (Level: Manager),"Bangalore, India",,SN-Application Development.,creq265318
Data Engineer,Lead Software Engineer,"Bangalore, India",,"Data-Azure Databricks with ADF, HDInsight,ADLS,Synapse,Azure Native Data Services.",creq265617
Data Scientist,Architect (Level: Manager),"Bangalore, India",,Data-Azure ML.,creq265616
EIM Senior Data Engineer,Senior Lead Software Engineer,"Hyderabad, India",,"Data-Oracle OWB with Python/Scala/Java/.NET, ANSI SQL compliant, Traditional Or Cloud DB, Pipeline orchestration .",creq265529
Senior Tech Lead-Java,Lead Software Engineer,"Hyderabad, India",,DE-Service Dev Foundation.,creq265528
