title,role,location,experience,skills,apply_id
Mainframe,Associate Consultant,BANGALORE,2,Technology->Mainframe Technologies->Mainframe Technologies- ALL,246711
PPM Consultant,Associate Business Analyst,BANGALORE,1,"Domain->Project and Portfolio Management->Portfolio Selection, Planning and Tracking->HP PPM,Technology->Project and Portfolio Management->PPM Architecture  Consultancy",246653
Workday Technical Consultant,Associate Consultant,PUNE                     ,2,Technology->Workday->Workday Technical,246642
Workday HCM Consultant,Associate Consultant,BANGALORE,2,Technology->Workday->Core HCM,246639
Executive - Facilities,Executive - Facilities,BANGALORE,3,Domain->other solutions->Finacle Virtual Lounge,246638
UKG Dell Boomi Consultant,Associate Consultant,Noida,2,Technology->Kronos->Workforce Management,246630
UKG Pro WFM Consultant,Associate Consultant,BANGALORE,2,Technology->Kronos->Workforce Management,246626
Oracle VBCS Developer,Associate Consultant,BANGALORE,2,Technology->Oracle Fusion Technology->Fusion Middleware,246625
OIC/SOA Developer,Associate Consultant,PUNE                     ,2,Technology->Oracle Fusion Technology->Fusion Middleware,246621
Oracle B2C Service Cloud Specialist,Associate Consultant,BANGALORE,2,Technology->Oracle Cloud->Engagement Cloud (Sales Cloud)->Right Now,246613
Oracle Field Service Cloud/Digital Customer Service Consultant,Associate Consultant,BANGALORE,2,Technology->Oracle Cloud->Oracle Field Service Cloud->Oracle Field Service Cloud,246583
AS400 Senior Developer,Technology Analyst,BANGALORE,3,"Technology->AS/400 technologies->AS400 hardware setup,Technology->AS/400 technologies->RPG->RPG III",246579
.Net Senior Developer,Technology Analyst,PUNE                     ,3,.Net,246572
Oracle CPQ Consultant,Associate Consultant,BANGALORE,2,Technology->Oracle Cloud->CPQ Cloud,246563
S2R_IQE_AT_Q2_FY 27,Quality Engineering Analyst,BANGALORE,3,Technology->Mobile Testing->Mobile Automation Testing,246541
S2R_IQE_PT_Q2_FY 27,Quality Engineering Analyst,BANGALORE,3,Technology->Performance Testing->Performance Testing - ALL,246538
S2R_EAIS_JDA_Q2_FY 27,Associate Consultant,BANGALORE,2,Technology->Supply Chain Management->JDA Demand,246531
SAP MDG Consultant,Associate Consultant,PUNE                     ,2,Technology->SAP Functional->SAP MDG,246517
Java React Senior Developer,Technology Analyst,HYDERABAD,3,"Technology->Java->Java Application Support,Technology->Reactive Programming->react JS",246510
SAP SuccessFactors Consultant,Associate Consultant,BANGALORE,2,"SAP HCM->SAP HCM (SAP HR),SAP SUCCESSFACTORS,Technology->HCM Others->SuccessFactors,Technology->Success Factors->Employee Central,Technology->Success Factors->Recruiting",246500
.Net+React JS Senior Developer,Technology Analyst,HYDERABAD,3,".Net,.Net->C#,.Net->.Net Core,Technology->Reactive Programming->react JS",246456
Mainframe Senior Developer,Technology Analyst,BANGALORE,3,"Domain->Healthcare->Payer->FACETS,.Net,.Net->ASP.Net,Technology->AI-AI Hyperscalers->Google Agentic AI Services,Technology->AI-Traditional AI->IBM Watson,Technology->BPMI - B2B->Sterling Integrator,Technology->BPMI - Others->Rules Engine->InRule,Technology->Cloud Integration->Mulesoft->Mulesoft Integration,Technology->DevOps->DevOps Architecture Consultancy,Technology->Healthcare->EDI->EDIFECS,Technology->Microsoft Technologies->.NET Frameworks->.NET Core 2.0,Technology->Reactive Programming->Vert.x",246446
Performance Engineer - HRSG,Engineering Analyst,BANGALORE,3,Domain->Core Engineering->Plant Engineering,246437
AS400 Senior Developer,Technology Analyst,PUNE                     ,3,"Technology->AS/400 technologies->AS400 hardware setup,Technology->AS/400 technologies->RPG->RPG/400",246433
GCP BigQuery,Technology Analyst,BANGALORE,3,"Technology->Cloud Platform->GCP Core Services,Foundational->Development process generic->Big Data Analytics Process->Big Data",246334
Databricks Engineer,Technology Analyst,BANGALORE,3,Technology->Data Engineering->Databricks,246333
IICS Developer,Technology Analyst,BANGALORE,3,Technology->Data on Cloud - Datastore->Cloud based Integration Platforms->Informatica Intelligent Cloud services(IICS),246328
Microsoft Fabric (Azure Subscription),Technology Analyst,BANGALORE,3,"Technology->Microsoft Technologies->Microsoft Fabric,Technology->Cloud Platform->Azure Devops",246331
